Designator,Mid X,Mid Y,Rotation,Layer
D1,92.6591,-78.5114,0.0,top
D2,88.6967,-73.533,270.0,top
D3,92.7354,-55.3108,0.0,top
D4,88.6968,-50.5102,270.0,top
J1,120.945,-69.25,90.0,top
J13,150.0865,-84.8252,270.0,top
J14,124.8918,-38.5826,180.0,top
J15,127.4336,-38.5826,180.0,top
J16,129.9972,-38.5876,180.0,top
J17,132.5372,-38.5826,180.0,top
J2,120.945,-43.75,90.0,top
J3,56.9976,-63.6778,270.0,top
J4,56.9468,-80.7974,270.0,top
J5,86.4362,-90.1954,180.0,top
J6,68.8594,-90.1954,180.0,top
J7,57.0484,-47.1932,270.0,top
J8,68.9356,-37.7698,180.0,top
J9,86.5378,-37.7698,180.0,top
K1,75.6482,-75.3397,270.0,top
K2,75.7682,-52.2374,270.0,top
Q1,92.3797,-75.5142,180.0,top
Q2,92.456,-52.5413,180.0,top
R1,89.9413,-78.4606,180.0,top
R2,94.5641,-75.5142,90.0,top
R3,90.0176,-55.2854,180.0,top
R4,94.6404,-52.5921,90.0,top
R5,126.0348,-66.2178,270.0,top
R6,128.5494,-66.167,270.0,top
R7,131.1148,-66.1396,270.0,top
R8,133.6548,-66.1396,270.0,top
SW1,103.281,-82.4976,90.0,top
SW2,121.372,-82.523,90.0,top
SW3,139.279,-82.4976,90.0,top
SW4,150.8535,-78.1958,90.0,top
